ceremony_year,film_title,release_year,winner,metacritic_slug
2010,Avatar,2009,0,avatar
2010,The Blind Side,2009,0,the-blind-side
2010,District 9,2009,0,district-9
2010,An Education,2009,0,an-education
2010,The Hurt Locker,2009,1,the-hurt-locker
2010,Inglourious Basterds,2009,0,inglourious-basterds
2010,Precious,2009,0,precious-based-on-the-novel-push-by-sapphire
2010,A Serious Man,2009,0,a-serious-man
2010,Up,2009,0,up
2010,Up in the Air,2009,0,up-in-the-air
2011,127 Hours,2010,0,127-hours
2011,Black Swan,2010,0,black-swan
2011,The Fighter,2010,0,the-fighter
2011,Inception,2010,0,inception
2011,The Kids Are All Right,2010,0,the-kids-are-all-right
2011,The King's Speech,2010,1,the-kings-speech
2011,The Social Network,2010,0,the-social-network
2011,Toy Story 3,2010,0,toy-story-3
2011,True Grit,2010,0,true-grit
2011,Winter's Bone,2010,0,winters-bone
2012,The Artist,2011,1,the-artist
2012,The Descendants,2011,0,the-descendants
2012,Extremely Loud and Incredibly Close,2011,0,extremely-loud-and-incredibly-close
2012,The Help,2011,0,the-help
2012,Hugo,2011,0,hugo
2012,Midnight in Paris,2011,0,midnight-in-paris
2012,Moneyball,2011,0,moneyball
2012,The Tree of Life,2011,0,the-tree-of-life
2012,War Horse,2011,0,war-horse
2013,Amour,2012,0,amour
2013,Argo,2012,1,argo
2013,Beasts of the Southern Wild,2012,0,beasts-of-the-southern-wild
2013,Django Unchained,2012,0,django-unchained
2013,Les Miserables,2012,0,les-miserables
2013,Life of Pi,2012,0,life-of-pi
2013,Lincoln,2012,0,lincoln
2013,Silver Linings Playbook,2012,0,silver-linings-playbook
2013,Zero Dark Thirty,2012,0,zero-dark-thirty
2014,American Hustle,2013,0,american-hustle
2014,Captain Phillips,2013,0,captain-phillips
2014,Dallas Buyers Club,2013,0,dallas-buyers-club
2014,Gravity,2013,0,gravity
2014,Her,2013,0,her
2014,Nebraska,2013,0,nebraska
2014,Philomena,2013,0,philomena
2014,12 Years a Slave,2013,1,12-years-a-slave
2014,The Wolf of Wall Street,2013,0,the-wolf-of-wall-street
2015,American Sniper,2014,0,american-sniper
2015,Birdman or (The Unexpected Virtue of Ignorance),2014,1,birdman-or-the-unexpected-virtue-of-ignorance
2015,Boyhood,2014,0,boyhood
2015,The Grand Budapest Hotel,2014,0,the-grand-budapest-hotel
2015,The Imitation Game,2014,0,the-imitation-game
2015,Selma,2014,0,selma
2015,The Theory of Everything,2014,0,the-theory-of-everything
2015,Whiplash,2014,0,whiplash
2016,The Big Short,2015,0,the-big-short
2016,Bridge of Spies,2015,0,bridge-of-spies
2016,Brooklyn,2015,0,brooklyn
2016,Mad Max: Fury Road,2015,0,mad-max-fury-road
2016,The Martian,2015,0,the-martian
2016,The Revenant,2015,0,the-revenant
2016,Room,2015,0,room-2015
2016,Spotlight,2015,1,spotlight
2017,Arrival,2016,0,arrival
2017,Fences,2016,0,fences
2017,Hacksaw Ridge,2016,0,hacksaw-ridge
2017,Hell or High Water,2016,0,hell-or-high-water
2017,Hidden Figures,2016,0,hidden-figures
2017,La La Land,2016,0,la-la-land
2017,Lion,2016,0,lion
2017,Manchester by the Sea,2016,0,manchester-by-the-sea
2017,Moonlight,2016,1,moonlight-2016
2018,Call Me by Your Name,2017,0,call-me-by-your-name
2018,Darkest Hour,2017,0,darkest-hour
2018,Dunkirk,2017,0,dunkirk
2018,Get Out,2017,0,get-out
2018,Lady Bird,2017,0,lady-bird
2018,Phantom Thread,2017,0,phantom-thread
2018,The Post,2017,0,the-post
2018,The Shape of Water,2017,1,the-shape-of-water
2018,"Three Billboards Outside Ebbing, Missouri",2017,0,three-billboards-outside-ebbing-missouri
2019,Black Panther,2018,0,black-panther
2019,BlacKkKlansman,2018,0,blackkklansman
2019,Bohemian Rhapsody,2018,0,bohemian-rhapsody
2019,The Favourite,2018,0,the-favourite
2019,Green Book,2018,1,green-book
2019,Roma,2018,0,roma
2019,A Star Is Born,2018,0,a-star-is-born
2019,Vice,2018,0,vice-2018
2020,Ford v Ferrari,2019,0,ford-v-ferrari
2020,The Irishman,2019,0,the-irishman
2020,Jojo Rabbit,2019,0,jojo-rabbit
2020,Joker,2019,0,joker
2020,Little Women,2019,0,little-women-2019
2020,Marriage Story,2019,0,marriage-story
2020,1917,2019,0,1917
2020,Once Upon a Time ... in Hollywood,2019,0,once-upon-a-time-in-hollywood
2020,Parasite,2019,1,parasite
2021,The Father,2020,0,the-father
2021,Judas and the Black Messiah,2021,0,judas-and-the-black-messiah
2021,Mank,2020,0,mank
2021,Minari,2020,0,minari
2021,Nomadland,2020,1,nomadland
2021,Promising Young Woman,2020,0,promising-young-woman
2021,Sound of Metal,2020,0,sound-of-metal
2021,The Trial of the Chicago 7,2020,0,the-trial-of-the-chicago-7
2022,Belfast,2021,0,belfast
2022,CODA,2021,1,coda-2021
2022,Don't Look Up,2021,0,dont-look-up
2022,Drive My Car,2021,0,drive-my-car
2022,Dune,2021,0,dune-part-one
2022,King Richard,2021,0,king-richard
2022,Licorice Pizza,2021,0,licorice-pizza
2022,Nightmare Alley,2021,0,nightmare-alley
2022,The Power of the Dog,2021,0,the-power-of-the-dog
2022,West Side Story,2021,0,west-side-story-2020
2023,All Quiet on the Western Front,2022,0,all-quiet-on-the-western-front-2022
2023,Avatar: The Way of Water,2022,0,avatar-the-way-of-water
2023,The Banshees of Inisherin,2022,0,the-banshees-of-inisherin
2023,Elvis,2022,0,elvis
2023,Everything Everywhere All at Once,2022,1,everything-everywhere-all-at-once
2023,The Fabelmans,2022,0,the-fabelmans
2023,Tar,2022,0,tar-2022
2023,Top Gun: Maverick,2022,0,top-gun-maverick
2023,Triangle of Sadness,2022,0,triangle-of-sadness
2023,Women Talking,2022,0,women-talking
2024,American Fiction,2023,0,american-fiction
2024,Anatomy of a Fall,2023,0,anatomy-of-a-fall
2024,Barbie,2023,0,barbie
2024,The Holdovers,2023,0,the-holdovers
2024,Killers of the Flower Moon,2023,0,killers-of-the-flower-moon
2024,Maestro,2023,0,maestro-2023
2024,Oppenheimer,2023,1,oppenheimer
2024,Past Lives,2023,0,past-lives
2024,Poor Things,2023,0,poor-things
2024,The Zone of Interest,2023,0,the-zone-of-interest
